업종유형,총_폐업_점포_수,총_점포_수,상권_수,가중평균_폐업률(%),점포당_폐업_수
치킨전문점,135,1093,458,12.35,0.29
편의점,142,1474,596,9.63,0.24
패스트푸드점,130,1610,316,8.07,0.41
커피-음료,871,15368,924,5.67,0.94
분식전문점,338,6067,668,5.57,0.51
중식음식점,177,3497,345,5.06,0.51
당구장,97,1965,289,4.94,0.34
제과점,121,2478,328,4.88,0.37
호프-간이주점,620,12714,815,4.88,0.76
일식음식점,182,4056,269,4.49,0.68
양식음식점,225,5358,274,4.2,0.82
PC방,21,507,98,4.14,0.21
한식음식점,1676,43187,1319,3.88,1.27
전자상거래업,56,1469,52,3.81,1.08
노래방,154,4261,484,3.61,0.32
슈퍼마켓,151,4827,754,3.13,0.2
네일숍,56,1830,205,3.06,0.27
골프연습장,20,671,110,2.98,0.18
애완동물,8,280,39,2.86,0.21
스포츠클럽,48,1751,168,2.74,0.29
피부관리실,103,3896,214,2.64,0.48
스포츠 강습,97,3690,363,2.63,0.27
수산물판매,51,2045,120,2.49,0.42
여관,49,1986,157,2.47,0.31
예술학원,93,3762,401,2.47,0.23
일반교습학원,265,10754,536,2.46,0.49
외국어학원,12,509,41,2.36,0.29
신발,58,2677,98,2.17,0.59
세탁소,37,1737,339,2.13,0.11
육류판매,55,2627,358,2.09,0.15
일반의류,890,45421,723,1.96,1.23
화장품,169,8714,396,1.94,0.43
청과상,52,2741,221,1.9,0.24
핸드폰,35,1859,124,1.88,0.28
미용실,246,13713,1049,1.79,0.23
반찬가게,55,3228,248,1.7,0.22
가구,17,1040,73,1.63,0.23
의약품,80,5127,516,1.56,0.16
부동산중개업,11,725,11,1.52,1.0
가방,17,1148,39,1.48,0.44
안경,15,1037,172,1.45,0.09
섬유제품,14,988,71,1.42,0.2
운동/경기용품,17,1296,98,1.31,0.17
화초,29,2296,232,1.26,0.12
서적,11,958,108,1.15,0.1
가전제품,6,525,31,1.14,0.19
자동차수리,22,2029,344,1.08,0.06
자동차미용,2,185,35,1.08,0.06
문구,18,1733,212,1.04,0.08
치과의원,29,3083,355,0.94,0.08
시계및귀금속,38,4276,134,0.89,0.28
한의원,18,2109,283,0.85,0.06
미곡판매,2,238,38,0.84,0.05
인테리어,7,981,121,0.71,0.06
일반의원,58,8237,461,0.7,0.13
철물점,4,594,137,0.67,0.03
컴퓨터및주변장치판매,23,3497,54,0.66,0.43
조명용품,38,6148,133,0.62,0.29
가전제품수리,1,230,29,0.43,0.03
의료기기,5,1245,113,0.4,0.04
완구,0,68,5,0.0,0.0
자전거 및 기타운송장비,0,75,18,0.0,0.0
